A megmunkálás idõpontja 	Konfigurációs fájl	Megjegyzések
2018.03.31. 8:29:31	config.txt	**********
2018.03.31. 19:14:24	config.txt	**********
2018.03.31. 19:41:26	config.txt	**********
2018.03.31. 19:44:15	config.txt	**********
2018.03.31. 19:45:43	config.txt	**********
2018.03.31. 19:56:35	config.txt	**********
2018.03.31. 19:57:39	config.txt	**********
2018.03.31. 20:01:12	config.txt	**********
2018.03.31. 20:03:24	config.txt	**********
2018.03.31. 20:05:24	config.txt	**********
2018.03.31. 20:07:03	config.txt	**********
2018.03.31. 20:08:05	config.txt	**********
2018.03.31. 20:09:03	config.txt	**********
2018.03.31. 20:17:29	config.txt	**********
2018.03.31. 20:19:29	config.txt	**********
2018.03.31. 20:28:50	config.txt	**********
2018.03.31. 21:12:38	config.txt	**********
2018.03.31. 21:13:57	config.txt	**********
2018.03.31. 21:15:23	config.txt	**********
2018.04.02. 19:28:09	config.txt	**********
2018.04.02. 19:28:34	config.txt	**********
2018.04.02. 19:28:57	config.txt	**********
2018.04.02. 19:29:32	config.txt	**********
2018.04.02. 19:29:55	config.txt	**********
2018.04.02. 19:30:37	config.txt	**********
2018.04.02. 20:40:10	config.txt	**********
2018.04.02. 20:40:34	config.txt	**********
2018.04.02. 20:40:56	config.txt	**********
2018.04.02. 22:33:01	config.txt	**********
2018.04.02. 22:33:35	config.txt	**********
2018.04.02. 22:34:25	config.txt	**********
2018.04.02. 23:11:18	config.txt	**********
2018.04.02. 23:11:48	config.txt	**********
2018.04.02. 23:12:15	config.txt	**********
2018.04.03. 13:03:17	config.txt	**********
2018.04.03. 13:08:58	config.txt	**********
2018.04.03. 13:10:52	config.txt	**********
2018.04.03. 14:24:46	config.txt	**********
2018.04.03. 14:25:39	config.txt	**********
2018.04.03. 14:27:47	config.txt	**********
2018.04.03. 22:20:32	config.txt	**********
2018.04.03. 22:21:10	config.txt	**********
2018.04.03. 22:21:37	config.txt	**********
2018.04.03. 22:22:01	config.txt	**********
2018.04.04. 8:41:58	config.txt	**********
2018.04.04. 20:16:00	config.txt	**********
2018.04.04. 20:16:43	config.txt	**********
2018.04.04. 20:17:20	config.txt	**********
2018.04.04. 20:17:42	config.txt	**********
2018.04.04. 20:18:05	config.txt	**********
2018.04.04. 20:18:50	config.txt	**********
2018.04.04. 20:19:28	config.txt	**********
2018.04.05. 20:44:03	config.txt	**********
2018.04.05. 20:44:30	config.txt	**********
2018.04.08. 13:37:03	config.txt	**********
2018.04.08. 13:38:52	config.txt	**********
2018.04.08. 13:39:49	config.txt	**********
2018.04.08. 16:55:11	config.txt	**********
2018.04.08. 16:56:53	config.txt	**********
2018.04.08. 16:58:34	config.txt	**********
2018.04.08. 16:59:12	config.txt	**********
2018.04.08. 17:32:16	config.txt	**********
2018.04.08. 17:39:48	config.txt	**********
2018.04.08. 18:45:45	config.txt	**********
2018.04.08. 18:46:31	config.txt	**********
2018.04.08. 18:47:36	config.txt	**********
2018.04.08. 18:49:28	config.txt	**********
2018.04.08. 18:52:32	config.txt	**********
2018.04.08. 18:53:14	config.txt	**********
2018.04.08. 19:01:16	config.txt	**********
2018.04.08. 19:21:28	config.txt	**********
2018.04.08. 19:22:37	config.txt	**********
2018.04.09. 13:24:56	config.txt	**********
2018.04.09. 14:41:31	config.txt	**********
2018.04.09. 14:41:55	config.txt	**********
2018.04.09. 15:33:48	config.txt	**********
2018.04.09. 15:34:14	config.txt	**********
2018.04.09. 15:35:30	config.txt	**********
2018.04.09. 15:35:54	config.txt	**********
2018.04.09. 15:36:18	config.txt	**********
2018.04.09. 16:55:16	config.txt	**********
2018.04.09. 16:56:22	config.txt	**********
2018.04.09. 16:56:50	config.txt	**********
2018.04.09. 16:58:56	config.txt	**********
2018.04.09. 17:03:08	config.txt	**********
2018.04.10. 14:58:52	config.txt	**********
2018.04.10. 14:59:21	config.txt	**********
2018.04.10. 14:59:51	config.txt	**********
2018.04.10. 15:00:26	config.txt	**********
2018.04.13. 9:07:46	config.txt	**********
2018.04.13. 9:08:09	config.txt	**********
2018.04.14. 19:11:47	config.txt	**********
2018.04.14. 19:12:11	config.txt	**********
2018.04.14. 19:12:34	config.txt	**********
2018.04.14. 19:12:57	config.txt	**********
2018.04.15. 14:17:06	config.txt	**********
2018.04.15. 14:20:52	config.txt	**********
2018.07.27. 19:55:53	config.txt	**********
2018.07.27. 19:57:06	config.txt	**********
